location,year,month,tmax,tmin,tmean
Adelaide,2021,6,16.71,9.67,13.19
Adelaide,2021,7,15.23,8.28,11.75
Adelaide,2021,8,16.83,8.74,12.78
Adelaide,2021,9,19.61,9.88,14.74
Adelaide,2021,10,21.1,10.42,15.76
Adelaide,2021,11,23.35,13.05,18.2
Adelaide,2021,12,27.27,14.32,20.79
Adelaide,2022,1,29.06,18.58,23.82
Adelaide,2022,2,28.02,16.66,22.34
Adelaide,2022,3,27.26,15.9,21.58
Adelaide,2022,4,24.0,14.82,19.41
Adelaide,2022,5,18.86,10.52,14.69
Adelaide,2022,6,15.57,9.71,12.64
Adelaide,2022,7,14.87,7.19,11.03
Adelaide,2022,8,16.19,9.14,12.66
Adelaide,2022,9,17.21,9.13,13.17
Adelaide,2022,10,20.7,12.27,16.49
Adelaide,2022,11,22.56,13.01,17.79
Adelaide,2022,12,27.31,14.61,20.96
Adelaide,2023,1,30.05,16.88,23.46
Adelaide,2023,2,28.79,16.25,22.52
Adelaide,2023,3,25.05,14.51,19.78
Adelaide,2023,4,22.17,13.12,17.65
Adelaide,2023,5,17.9,10.01,13.95
Adelaide,2023,6,16.96,10.75,13.86
Adelaide,2023,7,15.83,8.17,12.0
Adelaide,2023,8,17.53,9.06,13.3
Adelaide,2023,9,22.09,10.24,16.16
Adelaide,2023,10,21.54,10.77,16.16
Adelaide,2023,11,24.6,11.82,18.21
Adelaide,2023,12,25.46,14.77,20.11
Adelaide,2024,1,29.27,17.02,23.14
Adelaide,2024,2,30.13,16.21,23.17
Adelaide,2024,3,29.9,16.83,23.36
Adelaide,2024,4,21.09,10.75,15.92
Adelaide,2024,5,20.83,8.78,14.8
Adelaide,2024,6,15.83,8.1,11.96
Adelaide,2024,7,15.74,7.66,11.7
Adelaide,2024,8,19.06,10.57,14.82
Adelaide,2024,9,19.5,9.39,14.45
Adelaide,2024,10,24.61,12.38,18.5
Adelaide,2024,11,26.7,14.58,20.64
Adelaide,2024,12,28.94,16.03,22.48
Adelaide,2025,1,30.84,16.89,23.87
Adelaide,2025,2,31.47,17.81,24.64
Adelaide,2025,3,30.26,16.69,23.48
Adelaide,2025,4,25.18,14.05,19.61
Adelaide,2025,5,20.51,9.11,14.81
Adelaide,2025,6,16.42,8.74,12.58
Adelaide,2025,7,15.32,8.32,11.82
Adelaide,2025,8,16.65,8.78,12.72
Adelaide,2025,9,19.43,10.14,14.78
Adelaide,2025,10,22.45,12.37,17.41
Adelaide,2025,11,22.26,12.59,17.42
Adelaide,2025,12,27.81,14.88,21.35
Archerfield,1996,1,30.3,21.41,25.86
Archerfield,1996,2,29.62,20.24,24.93
Archerfield,1996,3,28.26,17.51,22.89
Archerfield,1996,4,28.32,15.26,21.79
Archerfield,1996,5,23.59,14.82,19.21
Archerfield,1996,6,21.78,11.81,16.79
Archerfield,1996,7,20.6,8.32,14.46
Archerfield,1996,8,22.15,9.16,15.66
Archerfield,1996,9,25.61,11.31,18.46
Archerfield,1996,10,25.78,14.48,20.13
Archerfield,1996,11,29.18,16.61,22.9
Archerfield,1996,12,28.89,18.95,23.92
Archerfield,1997,1,28.06,18.99,23.53
Archerfield,1997,2,30.64,21.39,26.01
Archerfield,1997,3,29.29,18.25,23.77
Archerfield,1997,4,27.5,14.16,20.83
Archerfield,1997,5,23.28,12.31,17.79
Archerfield,1997,6,20.95,8.38,14.67
Archerfield,1997,7,20.59,7.31,13.95
Archerfield,1997,8,22.26,6.86,14.56
Archerfield,1997,9,25.08,11.75,18.42
